,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
30943134,lupus erythematosus,atrial fibrillation,patients,systemic lupus erythematosus,SLE,atrial fibrillation,AF,AF,SLE,patients,SLE,AF,SLE,AF,death,AF,patients,SLE,person,SLE,AF,patients,AF,SLE,patients,AF,patients,SLE,AF,SLE,AF,SLE,AF,patients,AF,AF,patients,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27852596,participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26886597,atorvastatin,acute pancreatitis,atorvastatin,pancreatitis,pancreatitis,pancreatitis,pancreatitis,lipid,atorvastatin,atorvastatin,atorvastatin,atorvastatin,pancreatitis,atorvastatin,atorvastatin,pancreatitis,pancreatitis,atorvastatin,pancreatitis,atorvastatin,atorvastatin,atorvastatin,atorvastatin,acute pancreatitis,atorvastatin,pancreatitis,patients,acute pancreatitis,atorvastatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27663143,human immunodeficiency virus,patients,immunodeficiency virus (hiv)-positive,patients,HIV,HIV,patients,HIV,HIV,patients,HIV,participants,CD4,HIV,diploma,HIV,HIV,patients,HIVDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28002662,lithium,alzheimer's disease,lithium,dementia,alzheimer's disease,lithium,people,alzheimer's disease,valproic acid,carbamazepine,hypothyroidism,diabetes,hypertension,hyperlipidemia,chronic kidney disease,epilepsy,schizophrenia,bipolar disorder,alzheimer's disease,alzheimer's disease,lithium,patients,bipolar disorder,lithium,alzheimer's disease,lithium,alzheimer's disease,lithium,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31240863,stroke,patients,rheumatoid arthritis,death and cardiovascular diseases,rheumatoid arthritis,RA,patients,RA,patients,patients,cyclosporine,patients,patients,death,myocardial infarction,stroke,death,csdmard,bdmard,bdmard,stroke,bdmard,bdmard,csdmard,RA,patients,bdmard,ahr,ahr,bdmard,stroke,ahr,ahr,RA,patients,death and stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29329345,metformin,non-small cell lung cancer,patients,diabetes,metformin,cell lung cancer,NSCLC,patients,diabetes,patients,patients,metformin,patients,metformin,patients,metformin,NSCLC,metformin,metformin,metformin,OS,NSCLC,patients,diabetes,metformin,metformin,NSCLC,patients,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28810993,participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26825913,dry eye syndrome,patients,fibromyalgia,fibromyalgia,dry eye syndrome,patients,patients,pain,fatigue syndrome,irritable bowel syndrome,IBS,rheumatic,psychosomatic disorders,patients,patients,patients,patients,patients,patients,IBS,sleep disturbance,patients,IBS,sleep disturbance,patients,patients,psychiatric,psychiatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28280271,active tuberculosis,tuberculosis (tb) infection,obesity,obesity,participants,person,obesity,alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29753054,patients,chronic viral hepatitis,liver cirrhosis,methotrexate,methotrexate,MTX,patients,psoriasis,MTX,chronic viral hepatitis,cirrhosis,psoriatic,patients,psoriatic,patients,chronic hepatitis b,CHB,MTX,MTX,psoriatic,patients,chronic hepatitis c,CHC,MTX,MTX,chronic viral hepatitis,patients,CHB,patients,CHC,liver cirrhosis,MTX,MTX,liver cirrhosis,patients,CHB,patients,CHC,MTX,liver cirrhosis,psoriatic,patients,chronic viral hepatitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27472738,systemic lupus erythematosus,hypertension,hypertension,PIH,systemic lupus erythematosus,SLE,SLE,PIH,PIH,SLE,PIH,SLE,patients,PIH,PIH,SLE,patients,PIH,SLE,patients,PIH,SLE,PIH,SLE,PIH,SLE,PIH,patients,PIH,SLE,PIH,PIH,eclampsia,chronic kidney disease,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31759535,wilson,patients,patients,patient,patient,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28202260,allopurinol,benzbromarone,coronary heart disease,gout,patients,gout,coronary artery disease,CAD,gout,acute myocardial infarction,CAD,gout,patients,allopurinol,benzbromarone,CAD,CAD,gout,patients,allopurinol,benzbromarone,hypertension,hyperlipidemia,diabetes mellitus,chronic kidney disease,gout,patients,allopurinol,benzbromarone,CAD,allopurinol,benzbromarone,CAD,allopurinol,benzbromarone,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28583443,metformin,neurodegenerative diseases,patients,diabetes mellitus,patients,type 2 diabetes mellitus,neurodegenerative diseases,dementia,parkinson's disease,PD,metformin,dementia,PD,patients,metformin,dementia,PD,patients,patients,metformin,metformin,dementia,PD,metformin,PD,metformin,dementia,metformin,alzheimer's disease,vascular dementia,dementia,PD,metformin,patients,dementia,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28849668,depression,anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27082596,ESRD,renal diseases,nephritis,acute renal injury,deterioration of renal function,patients,renal diseases,patients,renal diseases,patients,end-stage renal diseases,esrds,people,renal diseases,ESRD,ESRD,patients,renal diseases,ESRD,renal disease,patients,DDD,DDD,ESRD,patients,renal diseases,patients,renal disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30762774,health disorders,renal disease,chronic kidney disease,stroke,cancer,acute myocardial infarction,acute renal failure,ARF,diabetes,ARF,diabetes,hyperlipidemia,hypertension,cancer,end-stage renal disease,acute myocardial infarction,stroke,ARF,ARF,person,ARF,health disorders,ARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27284924,patients,end-stage renal disease,peripheral arterial disease,PAD,patients,end-stage renal disease,patients,end-stage renal disease,patients,end-stage renal disease,patients,patients,end-stage renal disease,peripheral arterial disease,PAD,PTX,person,PTX,person,peripheral arterial disease,patients,end-stage renal disease,hyperparathyroidism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28858112,invasive breast cancer,endometrial cancer,breast cancer,breast cancer,breast cancer,CHP,women,women,person,invasive breast cancer,person,breast cancer,CHP,patients,CHP,breast cancer,patient,CHP,CHP,patient,breast cancer,women,invasive breast cancer,breast cancer,women,breast cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27062333,alzheimer's and parkinson's disease,patients,prostate cancer,ADT,advanced prostate cancer,ADT,ADT,alzheimer's disease,ADT,alzheimer's disease,men,prostate cancer,patients,prostate cancer,patients,prostate malignancy,patient,alzheimer's disease,alzheimer's disease,prostate cancer,patients,patients,alzheimer's disease,parkinson's disease,prostate cancer,patients,ADT,patients,prostate cancer,alzheimer's and parkinson's disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31369625,tonsillitis,ankylosing spondylitis,tonsillitis,ankylosing spondylitis,patients,tonsillitis,patients,tonsillitis,appendicitis,periodontitis,tonsillitis,tonsillitis,tonsillitis,tonsillitis,tonsillitis,tonsillitis,patients,tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27495797,sleep apnea,mood disorders,sleep apnea,sleep fragmentation,oxygen,mood disorder,sleep apnea,patients,sleep apnea,patients,sleep apnea,apnea,cox,sleep apnea,sleep apnea,patients,sleep apnea,sleep apnea,patients,sleep apnea,depressive disorder,bipolar disorder,unspecified,sleep apnea,depressive disorder,bipolar disorder,patients,sleep apnea,sleep apnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27485590,pneumonia,fractures,fever,fever symptoms,infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201613,cardiovascular complications,patients,sepsis,patients,cardiovascular complications,sepsis,cardiovascular complications,patients,sepsis,patients,sepsis,myocardial infarction,stroke,sepsis,sepsis,stroke,sepsis,stroke,stroke,patients,sepsis,stroke,patients,patients,sepsis,stroke,,sepsis,stroke,patients,patients,patients,sepsis,stroke,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29503408,chronic hepatitis c virus infection,hepatitis c virus,HCV,cardiovascular disease,heart failure,patients,chronic hcv infection,myocardial infarction,ischemic stroke,peripheral artery disease,death,cardiovascular death,patients,chronic hcv infection,patients,IBT,patients,IBT,person,person,death,person,cardiovascular death,person,hcv infection,cardiovascular death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30423579,icodextrin,stroke,patients,PD,patients,icodextrin,stroke,renal disease,patients,stroke,PD,patients,icodextrin,PD,stroke,PD,patients,icodextrin,stroke,icodextrin,person,death,icodextrin,ischemic stroke,death,icodextrin,stroke,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32271850,fracture complications,mortality,patients,patients,male fracture,patients,fracture complications,mortality,women,men,patients,#NAME?,acute renal failure,infection,stroke,septicemia,myocardial infarction,mortality,patients,fracture urinary tract infection,men,women,patients,patients,patients,fractures,patients,mortality,patients,infections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29567851,atrial fibrillation,patients,diabetes mellitus,hyperosmolar hyperglycaemic,atrial fibrillation,AF,patients,type 2 diabetes mellitus,DM,AF,patients,DM,hyperosmolar hyperglycaemic,HHS,patients,DM,HHS,AF,patients,DM,patients,HHS,patients,AF,patients,DM,HHS,AF,patients,DM,patients,DM,HHS,HHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26823081,pneumonia,patients,myocardial infarction,patients,myocardial infarction,pneumonia,patients,patients,patients,pneumonia,patients,pneumonia,patient,pneumonia,patients,patients,patients,congestive heart failure,hypertension,diabetes mellitus,stroke,atorvastatin,fluvastatin,simvastatin,pneumonia,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27388055,APD,APD,patients,APD,patients,APD,patients,APD,patients,APD,patients,patients,APD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29710283,autism spectrum disorder,children,autism spectrum disorder,ASD,children,ASD,ASD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29239678,PID,women,women,patients,cephalosporins,doxycycline,clindamycin,metronidazole,patients,PID,PID,patients,PID,patients,doxycycline,cephalosporins,patients,PID,patients,doxycycline,cephalosporins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30366771,upper gastrointestinal bleeding,aspirin,upper gastrointestinal bleeding,aspirin,aspirin,aspirin,steroids,thienopyridines,warfarin,dipyridamole,aspirin,helicobacter pylori,h. pylori,infection,diabetes,chronic kidney disease,CKD,cirrhosis,peptic ulcer disease,steroids,thienopyridines,aspirin,h. pylori,infection,steroids,thienopyridines,diabetes,CKD,cirrhosis,aspirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26910512,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26786998,cancer,participants,participants,f&amp;,participants,person,F,amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29551708,hepatocellular carcinoma,hepatitis b,amp,hepatocellular carcinoma,patients,chronic hepatitis b,CHB,patients,patients,CHB,entecavir,tenofovir,patients,CHB,entecavir,tenofovir,patients,cirrhosis,cirrhosis,diabetes mellitus,cirrhosis,diabetes mellitus,patients,patients,patients,CHB,hepatocellular carcinoma,patients,hepatitis b,cirrhosis,diabetes mellitus,hepatocellular carcinoma,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28253340,patients,prostate cancer,depressive disorder,ADT,testosterone,ADT,depressive symptoms,ADT,depressive disorder,patient,patients,prostate cancer,patients,ADT,patients,ADT,person,ADT,ADT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29725850,xerostomia,sialadenitis,jaw osteonecrosis,cancer,sialadenitis,osteonecrosis of the jaw,head and neck cancer,patients,sialadenitis,cancer,patients,patients,sialadenitis,sialadenitis,patients,sialadenitis,patients,jaw necrosis,osteoradionecrosis,sialadenitis,oral cancer,patients,nasopharyngeal cancer,NPC,patients,sialadenitis,sialadenitis,sialadenitis,patients,NPC,patients,patients,xerostomia,sialadenitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30676096,malnutrition,patients,chronic obstructive pulmonary disease,malnutrition,patients,chronic obstructive pulmonary disease,COPD,malnutrition,patients,COPD,patients,respiratory failure,malnutrition,COPD,malnutrition,patients,outpatient,patients,outpatient,COPD,patients,patients,COPD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30308032,heart failure,heart failure,patients,patients,patients,spironolactone,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30371327,patients,cirrhosis and acute myocardial infarction,beta1,patients,cirrhosis,acute myocardial infarction,patients,myocardial infarction,obstructive pulmonary disease,asthma,atrioventricular conduction disease,patients,beta1,patients,beta1,patients,acute myocardial infarction,cirrhosis,patients,patients,patients,patients,patients,beta1,patients,patients,beta1,patients,cirrhosis,acute myocardial infarction,beta1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30022816,atrial fibrillation,patients,COPD,atrial fibrillation,AF,patients,COPD,AF,COPD,patients,acute organ dysfunction,sepsis,respiratory failure,AF,COPD,patients,COPD,AF,patients,COPD,AF,COPD,patients,AF,COPD,patients,AF,COPD,organ dysfunction,sepsis,respiratory failure,death,organ dysfunction,sepsis,respiratory failure,death,COPD,patients,AF,COPD,patients,AF,acute organ dysfunction,respiratory failure,COPD,patients,AF,AF,hepatic dysfunction,respiratory failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29995809,traumatic cardiac arrest,traumatic cardiac arrest,TCA,patients,patients,TCA,patients,traumatic,cardiac arrest,injury,TCA,organ failure,patients,ventricular fibrillation,poisoning,TCA,patients,multiple organ failure,ventricular fibrillation rhythm,postcardiac arrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30628552,depression,depression,depression,depression tendencies,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003287,hyperlipidemia,epilepsy,hyperlipidemia,patients,epilepsy,patients,epilepsy,epilepsy,hyperlipidemia,hyperlipidemia,epilepsy,epilepsy,patients,hyperlipidemia,valproate,hyperlipidemia,valproate,lxralpha,lipid,valproate,lxralpha,valproate,lxralpha,valproate,lipid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29885608,death,patients,cardiovascular diseases,patients,cardiovascular diseases,patients,congestive heart failure,CHF,acute myocardial infarction,ischemic stroke,hemorrhagic stroke,patients,death,death,patients,CHF,patients,patients,patients,patients,death,person,CHF,PMI,patients,CHF,patients,patients,patients,patients,death,patients,CHF,death,patients,CHF,psychiatric illness,patients,death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32195968,acute myocardial infarction,patients,liver cirrhosis,liver cirrhotic,patients,coagulopathy and bleeding,acute myocardial infarction,AMI,patients,patients,cirrhosis,AMI,patients,AMI,patients,recurrent myocardial infarction,ischemic stroke,heart failure,hepatic encephalopathy,ascites,peritonitis,esophageal varices bleeding,patients,patients,patients,AMI,patients,bleeding,patients,AMI,patients,AMI,patients,AMI,patients,AMI,patients,AMI,patients,AMI,AMI,patients,bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27100454,billroth ii anastomosis,ischemic stroke,peptic ulcer disease,patients,lipid,glucose metabolism,stroke,billroth ii anastomosis,peptic ulcer disease,patients,hypertension,diabetes mellitus,hyperlipidemia,coronary artery disease,congestive heart failure,chronic kidney disease,chronic obstructive pulmonary disease,COPD,obesity,patients,stroke,stroke,patients,person,ischemic stroke,hemorrhagic stroke,ischemic stroke,men,women,patients,ischemic stroke,patients,ischemic stroke,patients,men,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30359555,myocardial infarction,ischemic stroke,myocardial infarction,ischemic stroke,systemic inflammation,vascular dysfunction,patients,patients,patients,patients,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26962838,migraine,organic-psychogenic erectile dysfunction,pain,erectile dysfunction,migraine,chronic disorder,people,erectile dysfunction,patients,migraine,migraine,patients,migraine,migraine,migraine,person,patients,migraine,migraine,patients,anxiety,anxiety,patients,migraine,patient,anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27922923,breast cancer,breast cancer,women,breast cancer,breast cancer,women,breast cancer,cancer,women,cancer,women,women,women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27858855,patients,fibromyalgia,fibromyalgia,patients,death,patients,fibromyalgia,patients,fibromyalgia,fibromyalgia,patients,people,patients,fibromyalgia,fibromyalgia,patients,fibromyalgia,patients,fibromyalgia,patients,fibromyalgia,person,person,fibromyalgia,patients,fibromyalgia,patients,fibromyalgia,fibromyalgia,patients,patients,primary fibromyalgia,fibromyalgia,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30126140,patients,cancer,cancer,cancer,patient,cancer,patient,cancer,patient,cancer,patient,patient,cancer,cancer,cancer,patient,cancer,cancer,patient,cancer,cancer,patients,cancer,cancer,patient,cancer,patient,patient,cancer type,cancer,patient,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31382884,coronary artery aneurysm,coronary artery aneurysm,patients,patients,patients,kawasaki disease,patients,aspirin,aspirin,dipyridamole,heparin,warfarin,patients,hypertension,hyperlipidemia,diabetes mellitus,coronary atherosclerosis,patients,aspirin,clopidogrel,heparin,aspirin,metformin,sulfonylureas,isosorbide mononitrate,kawasaki disease,patients,coronary artery disease,patients,aspirin,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26716956,rhegmatogenous retinal detachment,RRD,serous chorioretinopathy,patients,patients,cataract,blunt trauma,myopia,diabetes mellitus,hypertension,hyperlipidemia,patient,RRD,RRD,patients,RRD,RRD,patients,RRD,RRD,cataract,blunt trauma,myopia,diabetes mellitus,hypertension,hyperlipidemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27015220,infective endocarditis,cancer,endocarditis,cancer,participants,patients,endocarditis,patients,endocarditis,endocarditis,patient,endocarditis,cancer,endocarditis,nonendocarditis,patients,patients,endocarditis,cancer,patients,endocarditis,cancers,hematological malignancies,colorectal cancer,cancers,cancer,endocarditis,endocarditis,patients,endocarditis,colorectal cancer,cancers,endocarditis,endocarditis,colorectal cancer,cancers,infection,endocarditis and malignancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31521178,death,mitral valve disease,death,mitral valve disease,heart valve disease,heart valve disease,death,heart valve disease,patients,mitral valve disease,mitral valve disease,patients,death,patients,mitral valve disease,patients,patients,patients,death,cardiovascular disease,death,patients,mitral valve disease,patients,mitral valve disease,diabetes,chronic kidney disease,CKD,emphysema,death,patients,death,mitral valve disease,patients,death,mitral valve disease,death,patients,mitral valve disease,patients,death,patients,mitral valve disease,diabetes,kidney disease,emphysema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29335350,psoriatic arthritis,psoriasis,psoriasis,psoriasis,psoriatic diseases,psoriasis,person,psoriasis,psoriasis,men,women,psoriatic disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27537583,cervical cancer,patients,cancer,cancer death,women,cervical cancer,patients,cancer,patients,patients,patients,cervical cancer,cervical cancer,patients,cancer,cervical cancer,cancer,cervical cancer,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28121929,enterovirus infection,allergic diseases,infants,rhinovirus,respiratory syncytial virus,wheezing,asthma,enterovirus infection,allergic diseases,allergic diseases,asthma,allergic rhinitis,atopic dermatitis,AD,herpangina,mouth disease,HFMD,children,herpangina,HFMD,children,children,herpangina,AD,children,HFMD,asthma,children,herpangina,AD,children,HFMD,asthma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26523711,cancer,dementia,dementia,cancer,cancer,reduction of cancers,dementia,patients,dementia,cancer,dementia,cancer,dementia,patients,cancer,cancer,cancer,dementia,patients,prostate cancers,cancer,dementia,colon and prostate cancers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29049319,invasive pulmonary aspergillosis,pulmonary aspergillosis,patients,patients,patients,patients,hematological cancer,diabetes mellitus,DM,COPD,hematological cancer,steroid,acute renal failure,infectious diseases,acute renal failure,infectious diseases,steroid,patients,acute renal failure,infectious diseases,steroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28561198,infection,patients,infection,infection,infection,patients,patients,infection,patients,patients,infection,diverticulitis,peritonitis,appendicitis,patients,infection,infection,infection,infection,infection,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29020377,hepatitis,patients,patients,hepatitis b,patients,patients,patient,hepatitis,patients,liver cirrhosis,hepatitis b,patients,patient,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26837336,131I,thyroid cancer,cataract,cataracts,cancer,thyroid cancer,cataract,patients,thyroid cancer,patient,cataract,patients,gbq,patients,cataract,gbq,thyroid cancer,cataract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31221170,PATIENTS,patients,patients,patients,cataract,patients,cataract,patient,patients,cataract,systemic disease,dry eye disease,glaucoma,uveitis,AMD,hyperlipidemia,peptic ulcer disease,liver disease,glaucoma,AMD,hyperlipidemia,ulcer disease,glaucoma,AMD,hyperlipidemia,cataract,glaucoma,AMD,hyperlipidemia,ulcer disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30954751,patients,primary spontaneous intracerebral hemorrhage,patients,primary intracerebral hemorrhage,ICH,patients,patients,ICH,patients,ICH,patients,patients,patients,patients,patients,patients,patients,patients,ICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26822618,respiratory syncytial virus infection in cyanotic congenital heart disease,RSV,rsv infection,patients,acyanotic congenital heart disease,CHD,patients,CHD,patients,acyanotic chd,patients,acyanotic chd,RSV,CHD,RSV,patients,acyanotic chd,RSV,patients,patients,cyanotic chd,severe rsv infection,acyanotic chd,RSV,patients,CHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28648576,patients,gastric cancer,patients,gastric cancer,patients,gastric cancer,patients,gastric cancer,patients,cancer,patients,gastric cancer,helicobacter pylori,patients,gastric cancer,patients,gastric cancer,cancer,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31237911,ischemic stroke,patients,behcet's disease,behcet's disease,inflammation,ischemic stroke,patients,ischemic stroke,ischemic stroke,patients,ischemic stroke,patients,ischemic stroke,ischemic stroke,cox,patients,ischemic stroke,patients,ischemic stroke,stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30119949,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27015203,infant,biliary atresia,biliary atresia,liver disease,children,infant,death,death,death,death,death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26986069,patients,atrial fibrillation,atrial fibrillation,AF,patients,thromboembolism,AF,patients,AF,patients,ischemic thromboembolism,patients,ischemic thromboembolism,patients,patients,patients,patients,patients,patients,thromboembolic,patients,thromboembolism,AF,patients,patients,ischemic thromboembolism,bleeding,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30645760,cancer,women,infertility,thyroid cancer,women,infertility,women,infertility,women,infertility,thyroid cancer,thyroid cancer,person,cancer,women,clomiphene,thyroid cancer,person,cancer,women,clomiphene,women,women,infertility,thyroid cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29056563,patients,non-small-cell lung cancer,lung cancer,NSCLC,cancer,NSCLC,NSCLC,patients,death,adenocarcinoma,death,patients,patients,death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30130284,women,stroke,venous thromboembolism,women,women,coronary syndrome,venous thromboembolism,VTE,ischemic stroke,hyperlipidemia,diabetes,hypertension,VTE,women,cardiovascular disease,women,cardiovascular disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
